price_area,production_group,start_time,quantity_kwh
NO1,solar,2020-12-31T23:00:00Z,6.106
NO1,solar,2021-01-01T00:00:00Z,4.03
NO1,solar,2021-01-01T01:00:00Z,3.982
NO1,solar,2021-01-01T02:00:00Z,8.146
NO1,solar,2021-01-01T03:00:00Z,8.616
NO1,solar,2021-01-01T04:00:00Z,10.207
NO1,solar,2021-01-01T05:00:00Z,10.234
NO1,solar,2021-01-01T06:00:00Z,8.187
NO1,solar,2021-01-01T07:00:00Z,7.964
NO1,solar,2021-01-01T08:00:00Z,7.667
NO1,solar,2021-01-01T09:00:00Z,8.626
NO1,solar,2021-01-01T10:00:00Z,11.983
NO1,solar,2021-01-01T11:00:00Z,9.627
NO1,solar,2021-01-01T12:00:00Z,9.589
NO1,solar,2021-01-01T13:00:00Z,9.06
NO1,solar,2021-01-01T14:00:00Z,5.799
NO1,solar,2021-01-01T15:00:00Z,5.386
NO1,solar,2021-01-01T16:00:00Z,5.429
NO1,solar,2021-01-01T17:00:00Z,5.306
NO1,solar,2021-01-01T18:00:00Z,5.224
NO1,solar,2021-01-01T19:00:00Z,6.874
NO1,solar,2021-01-01T20:00:00Z,4.101
NO1,solar,2021-01-01T21:00:00Z,4.355
NO1,solar,2021-01-01T22:00:00Z,6.652
NO1,solar,2021-01-01T23:00:00Z,4.22
NO1,solar,2021-01-02T00:00:00Z,6.534
NO1,solar,2021-01-02T01:00:00Z,6.194
NO1,solar,2021-01-02T02:00:00Z,5.952
NO1,solar,2021-01-02T03:00:00Z,5.602
NO1,solar,2021-01-02T04:00:00Z,6.63
NO1,solar,2021-01-02T05:00:00Z,7.1
NO1,solar,2021-01-02T06:00:00Z,6.816
NO1,solar,2021-01-02T07:00:00Z,5.522
NO1,solar,2021-01-02T08:00:00Z,6.296
NO1,solar,2021-01-02T09:00:00Z,6.133
NO1,solar,2021-01-02T10:00:00Z,5.904
NO1,solar,2021-01-02T11:00:00Z,5.939
NO1,solar,2021-01-02T12:00:00Z,5.272
NO1,solar,2021-01-02T13:00:00Z,6.699
NO1,solar,2021-01-02T14:00:00Z,9.245
NO1,solar,2021-01-02T15:00:00Z,6.383
NO1,solar,2021-01-02T16:00:00Z,3.743
NO1,solar,2021-01-02T17:00:00Z,4.19
NO1,solar,2021-01-02T18:00:00Z,5.267
NO1,solar,2021-01-02T19:00:00Z,4.573
NO1,solar,2021-01-02T20:00:00Z,5.198
NO1,solar,2021-01-02T21:00:00Z,8.509
NO1,solar,2021-01-02T22:00:00Z,8.049
NO1,solar,2021-01-02T23:00:00Z,5.02
NO1,solar,2021-01-03T00:00:00Z,5.688
NO1,solar,2021-01-03T01:00:00Z,5.958
NO1,solar,2021-01-03T02:00:00Z,5.372
NO1,solar,2021-01-03T03:00:00Z,5.96
NO1,solar,2021-01-03T04:00:00Z,6.056
NO1,solar,2021-01-03T05:00:00Z,4.946
NO1,solar,2021-01-03T06:00:00Z,4.385
NO1,solar,2021-01-03T07:00:00Z,4.175
NO1,solar,2021-01-03T08:00:00Z,6.823
NO1,solar,2021-01-03T09:00:00Z,12.719
NO1,solar,2021-01-03T10:00:00Z,29.67
NO1,solar,2021-01-03T11:00:00Z,74.815
NO1,solar,2021-01-03T12:00:00Z,61.771
NO1,solar,2021-01-03T13:00:00Z,15.434
NO1,solar,2021-01-03T14:00:00Z,7.121
NO1,solar,2021-01-03T15:00:00Z,11.514
NO1,solar,2021-01-03T16:00:00Z,8.201
NO1,solar,2021-01-03T17:00:00Z,5.275
NO1,solar,2021-01-03T18:00:00Z,4.842
NO1,solar,2021-01-03T19:00:00Z,10.624
NO1,solar,2021-01-03T20:00:00Z,15.521
NO1,solar,2021-01-03T21:00:00Z,12.578
NO1,solar,2021-01-03T22:00:00Z,13.916
NO1,solar,2021-01-03T23:00:00Z,13.524
NO1,solar,2021-01-04T00:00:00Z,13.948
NO1,solar,2021-01-04T01:00:00Z,18.704
NO1,solar,2021-01-04T02:00:00Z,18.55
NO1,solar,2021-01-04T03:00:00Z,19.106
NO1,solar,2021-01-04T04:00:00Z,17.427
NO1,solar,2021-01-04T05:00:00Z,14.804
NO1,solar,2021-01-04T06:00:00Z,3.957
NO1,solar,2021-01-04T07:00:00Z,4.711
NO1,solar,2021-01-04T08:00:00Z,6.592
NO1,solar,2021-01-04T09:00:00Z,28.212
NO1,solar,2021-01-04T10:00:00Z,43.442
NO1,solar,2021-01-04T11:00:00Z,32.405
NO1,solar,2021-01-04T12:00:00Z,24.871
NO1,solar,2021-01-04T13:00:00Z,12.723
NO1,solar,2021-01-04T14:00:00Z,9.933
NO1,solar,2021-01-04T15:00:00Z,10.416
NO1,solar,2021-01-04T16:00:00Z,9.625
NO1,solar,2021-01-04T17:00:00Z,8.883
NO1,solar,2021-01-04T18:00:00Z,11.648
NO1,solar,2021-01-04T19:00:00Z,15.184
NO1,solar,2021-01-04T20:00:00Z,17.554
NO1,solar,2021-01-04T21:00:00Z,21.026
NO1,solar,2021-01-04T22:00:00Z,23.202
NO1,solar,2021-01-04T23:00:00Z,24.312
NO1,solar,2021-01-05T00:00:00Z,24.822
NO1,solar,2021-01-05T01:00:00Z,24.597
NO1,solar,2021-01-05T02:00:00Z,17.872
NO1,solar,2021-01-05T03:00:00Z,19.964
NO1,solar,2021-01-05T04:00:00Z,21.97
NO1,solar,2021-01-05T05:00:00Z,17.185
NO1,solar,2021-01-05T06:00:00Z,7.856
NO1,solar,2021-01-05T07:00:00Z,8.815
NO1,solar,2021-01-05T08:00:00Z,10.203
NO1,solar,2021-01-05T09:00:00Z,11.404
NO1,solar,2021-01-05T10:00:00Z,19.625
NO1,solar,2021-01-05T11:00:00Z,23.343
NO1,solar,2021-01-05T12:00:00Z,19.468
NO1,solar,2021-01-05T13:00:00Z,11.913
NO1,solar,2021-01-05T14:00:00Z,10.276
NO1,solar,2021-01-05T15:00:00Z,9.386
NO1,solar,2021-01-05T16:00:00Z,9.286
NO1,solar,2021-01-05T17:00:00Z,12.683
NO1,solar,2021-01-05T18:00:00Z,11.236
NO1,solar,2021-01-05T19:00:00Z,9.942
NO1,solar,2021-01-05T20:00:00Z,8.387
NO1,solar,2021-01-05T21:00:00Z,10.918
NO1,solar,2021-01-05T22:00:00Z,9.498
NO1,solar,2021-01-05T23:00:00Z,11.267
NO1,solar,2021-01-06T00:00:00Z,17.164
NO1,solar,2021-01-06T01:00:00Z,15.052
NO1,solar,2021-01-06T02:00:00Z,16.82
NO1,solar,2021-01-06T03:00:00Z,17.962
NO1,solar,2021-01-06T04:00:00Z,17.263
NO1,solar,2021-01-06T05:00:00Z,8.679
NO1,solar,2021-01-06T06:00:00Z,7.821
NO1,solar,2021-01-06T07:00:00Z,6.918
NO1,solar,2021-01-06T08:00:00Z,5.294
NO1,solar,2021-01-06T09:00:00Z,8.931
NO1,solar,2021-01-06T10:00:00Z,11.427
NO1,solar,2021-01-06T11:00:00Z,14.231
NO1,solar,2021-01-06T12:00:00Z,13.693
NO1,solar,2021-01-06T13:00:00Z,9.504
NO1,solar,2021-01-06T14:00:00Z,7.21
NO1,solar,2021-01-06T15:00:00Z,5.457
NO1,solar,2021-01-06T16:00:00Z,4.005
NO1,solar,2021-01-06T17:00:00Z,5.499
NO1,solar,2021-01-06T18:00:00Z,7.762
NO1,solar,2021-01-06T19:00:00Z,8.228
NO1,solar,2021-01-06T20:00:00Z,7.881
NO1,solar,2021-01-06T21:00:00Z,5.901
NO1,solar,2021-01-06T22:00:00Z,7.663
NO1,solar,2021-01-06T23:00:00Z,7.689
NO1,solar,2021-01-07T00:00:00Z,7.193
NO1,solar,2021-01-07T01:00:00Z,6.641
NO1,solar,2021-01-07T02:00:00Z,5.472
NO1,solar,2021-01-07T03:00:00Z,7.146
NO1,solar,2021-01-07T04:00:00Z,7.511
NO1,solar,2021-01-07T05:00:00Z,6.275
NO1,solar,2021-01-07T06:00:00Z,5.694
NO1,solar,2021-01-07T07:00:00Z,6.634
NO1,solar,2021-01-07T08:00:00Z,6.771
NO1,solar,2021-01-07T09:00:00Z,6.692
NO1,solar,2021-01-07T10:00:00Z,7.22
NO1,solar,2021-01-07T11:00:00Z,6.18
NO1,solar,2021-01-07T12:00:00Z,6.482
NO1,solar,2021-01-07T13:00:00Z,6.937
NO1,solar,2021-01-07T14:00:00Z,7.841
NO1,solar,2021-01-07T15:00:00Z,6.434
NO1,solar,2021-01-07T16:00:00Z,5.759
NO1,solar,2021-01-07T17:00:00Z,5.492
NO1,solar,2021-01-07T18:00:00Z,6.676
NO1,solar,2021-01-07T19:00:00Z,6.455
NO1,solar,2021-01-07T20:00:00Z,4.675
NO1,solar,2021-01-07T21:00:00Z,6.912
NO1,solar,2021-01-07T22:00:00Z,6.162
NO1,solar,2021-01-07T23:00:00Z,6.084
NO1,solar,2021-01-08T00:00:00Z,6.882
NO1,solar,2021-01-08T01:00:00Z,6.274
NO1,solar,2021-01-08T02:00:00Z,6.299
NO1,solar,2021-01-08T03:00:00Z,7.521
NO1,solar,2021-01-08T04:00:00Z,6.981
NO1,solar,2021-01-08T05:00:00Z,5.96
NO1,solar,2021-01-08T06:00:00Z,7.283
NO1,solar,2021-01-08T07:00:00Z,7.879
NO1,solar,2021-01-08T08:00:00Z,6.275
NO1,solar,2021-01-08T09:00:00Z,8.856
NO1,solar,2021-01-08T10:00:00Z,12.6
NO1,solar,2021-01-08T11:00:00Z,19.85
NO1,solar,2021-01-08T12:00:00Z,16.772
NO1,solar,2021-01-08T13:00:00Z,8.475
NO1,solar,2021-01-08T14:00:00Z,6.445
NO1,solar,2021-01-08T15:00:00Z,7.569
NO1,solar,2021-01-08T16:00:00Z,6.794
NO1,solar,2021-01-08T17:00:00Z,6.644
NO1,solar,2021-01-08T18:00:00Z,6.387
NO1,solar,2021-01-08T19:00:00Z,5.943
NO1,solar,2021-01-08T20:00:00Z,5.622
NO1,solar,2021-01-08T21:00:00Z,7.029
