method,sample_kind,sample,elapsed_ms
load_tracked_csvs,first_call,0,80.852166000
load_tracked_csvs,repeat,1,73.104791000
load_tracked_csvs,repeat,2,71.537625000
load_tracked_csvs,repeat,3,70.354750000
load_tracked_csvs,repeat,4,70.383875000
load_tracked_csvs,repeat,5,69.629500000
stl_decompose_elhub,first_call,0,361.112750000
stl_decompose_elhub,repeat,1,299.948583000
stl_decompose_elhub,repeat,2,299.349500000
stl_decompose_elhub,repeat,3,299.405625000
stl_decompose_elhub,repeat,4,299.266750000
stl_decompose_elhub,repeat,5,324.772958000
production_spectrogram,first_call,0,12.892792000
production_spectrogram,repeat,1,5.134250000
production_spectrogram,repeat,2,4.538125000
production_spectrogram,repeat,3,4.665666000
production_spectrogram,repeat,4,4.987250000
production_spectrogram,repeat,5,4.243833000
spc_outliers_dct,first_call,0,4.711458000
spc_outliers_dct,repeat,1,4.839458000
spc_outliers_dct,repeat,2,4.278417000
spc_outliers_dct,repeat,3,4.114625000
spc_outliers_dct,repeat,4,4.578000000
spc_outliers_dct,repeat,5,4.496792000
lof_precip_anomalies,first_call,0,57.145750000
lof_precip_anomalies,repeat,1,56.118166000
lof_precip_anomalies,repeat,2,54.675250000
lof_precip_anomalies,repeat,3,55.366333000
lof_precip_anomalies,repeat,4,55.914542000
lof_precip_anomalies,repeat,5,57.671042000
snow_drift_page_functions,first_call,0,5.425083000
snow_drift_page_functions,repeat,1,5.005709000
snow_drift_page_functions,repeat,2,4.900542000
snow_drift_page_functions,repeat,3,4.699708000
snow_drift_page_functions,repeat,4,4.836584000
snow_drift_page_functions,repeat,5,5.215042000
rolling_origin_backtest_sarimax,first_call,0,55.331417000
rolling_origin_backtest_sarimax,repeat,1,46.174917000
rolling_origin_backtest_sarimax,repeat,2,45.585167000
rolling_origin_backtest_sarimax,repeat,3,45.187333000
rolling_origin_backtest_sarimax,repeat,4,43.823500000
rolling_origin_backtest_sarimax,repeat,5,43.118750000
